module_code,module_name,name,period,sitting,year_start,year_stop,link
AN225-1,Human Gross Anatomy,Paper 1 - Written,Autumn,2,2011,2012,https://www.mis.nuigalway.ie/papers_public/2011_2012/AN/2011_2012_AN225_1_2_3.PDF
AN225-1,Human Gross Anatomy,Paper 1 - Written,Winter,1,2013,2014,
AN225-1,Human Gross Anatomy,Paper 1 - Written,Autumn,2,2013,2014,
AN225-1,Human Gross Anatomy,Paper 1 - Written,Winter,1,2012,2013,
AN225-1,Human Gross Anatomy,Paper 1 - Written,Winter,1,2011,2012,
AN225-1,Human Gross Anatomy,Paper 1 - Written,Autumn,2,2014,2015,
AN225-1,Human Gross Anatomy,Paper 1 - Written,Winter,1,2014,2015,
AN226-1,Systems Histology,Paper 1 - Written,Autumn,2,2014,2015,https://www.mis.nuigalway.ie/papers_public/2014_2015/AN/2014_2015_AN226_1_2_3.PDF
AN226-1,Systems Histology,Paper 1 - Written,Summer,1,2014,2015,https://www.mis.nuigalway.ie/papers_public/2014_2015/AN/2014_2015_AN226_1_1_2.PDF
AN226-1,Systems Histology,Paper 1 - Written,Summer,1,2013,2014,https://www.mis.nuigalway.ie/papers_public/2013_2014/AN/2013_2014_AN226_1_1_2.PDF
AN226-1,Systems Histology,Paper 1 - Written,Autumn,2,2013,2014,https://www.mis.nuigalway.ie/papers_public/2013_2014/AN/2013_2014_AN226_1_2_3.PDF
AN230-1,Human Body Structure,Paper 1 - Written,Autumn,2,2010,2011,
AN230-1,Human Body Structure,Paper 1 - Written,Winter,1,2010,2011,
AN230-1,Human Body Structure,Paper 1 - Written,Autumn,2,2013,2014,
AN230-1,Human Body Structure,Paper 1 - Written,Autumn,2,2014,2015,
AN230-1,Human Body Structure,Paper 1 - Written,Autumn,2,2012,2013,
AN230-1,Human Body Structure,Paper 1 - Written,Autumn,2,2011,2012,
AN230-1,Human Body Structure,Paper 1 - Written,Winter,1,2011,2012,
AN230-1,Human Body Structure,Paper 1 - Written,Winter,1,2013,2014,
AN230-1,Human Body Structure,Paper 1 - Written,Winter,1,2012,2013,
AN230-1,Human Body Structure,Paper 1 - Written,Winter,1,2009,2010,
AN230-1,Human Body Structure,Paper 1 - Written,Autumn,2,2009,2010,
AN230-1,Human Body Structure,Paper 1 - Written,Winter,1,2014,2015,
AN240-1,Human Body Structure,Paper 1 - Written,Autumn,2,2013,2014,
AN240-1,Human Body Structure,Paper 1 - Written,Autumn,2,2014,2015,
AN240-1,Human Body Structure,Paper 1 - Written,Autumn,2,2010,2011,
AN240-1,Human Body Structure,Paper 1 - Written,Winter,1,2010,2011,
AN240-1,Human Body Structure,Paper 1 - Written,Autumn,2,2011,2012,https://www.mis.nuigalway.ie/papers_public/2011_2012/AN/2011_2012_AN240_1_2_3.PDF
AN240-1,Human Body Structure,Paper 1 - Written,Winter,1,2011,2012,
AN240-1,Human Body Structure,Paper 1 - Written,Autumn,2,2012,2013,
AN240-1,Human Body Structure,Paper 1 - Written,Winter,1,2013,2014,
AN240-1,Human Body Structure,Paper 1 - Written,Winter,1,2012,2013,
AN240-1,Human Body Structure,Paper 1 - Written,Autumn,2,2009,2010,
AN240-1,Human Body Structure,Paper 1 - Written,Winter,1,2009,2010,
AN240-1,Human Body Structure,Paper 1 - Written,Winter,1,2014,2015,
AN3101-1,Musculoskeletal Anatomy Theory,Paper 1 - Written,Autumn,2,2014,2015,
AN3101-1,Musculoskeletal Anatomy Theory,Paper 1 - Written,Winter,1,2014,2015,
AN318-1,Advanced Anatomy Part 1,Paper 1 - Written,Winter,1,2008,2009,https://www.mis.nuigalway.ie/papers_public/2008_2009/AN/2008_2009_AN318_1_1_5.PDF
AN318-1,Advanced Anatomy Part 1,Paper 1 - Written,Winter,1,2009,2010,https://www.mis.nuigalway.ie/papers_public/2009_2010/AN/2009_2010_AN318_1_1_5.PDF
AN318-1,Advanced Anatomy Part 1,Paper 1 - Written,Autumn,2,2010,2011,https://www.mis.nuigalway.ie/papers_public/2010_2011/AN/2010_2011_AN318_1_2_3.PDF
AN318-1,Advanced Anatomy Part 1,Paper 1 - Written,Autumn,2,2008,2009,
AN318-1,Advanced Anatomy Part 1,Paper 1 - Written,Winter,1,2011,2012,https://www.mis.nuigalway.ie/papers_public/2011_2012/AN/2011_2012_AN318_1_1_5.PDF
AN318-1,Advanced Anatomy Part 1,Paper 1 - Written,Autumn,2,2009,2010,https://www.mis.nuigalway.ie/papers_public/2009_2010/AN/2009_2010_AN318_1_2_3.PDF
AN318-1,Advanced Anatomy Part 1,Paper 1 - Written,Winter,1,2010,2011,https://www.mis.nuigalway.ie/papers_public/2010_2011/AN/2010_2011_AN318_1_1_5.PDF
AN318-1,Advanced Anatomy Part 1,Paper 1 - Written,Autumn,2,2007,2008,
AN318-1,Advanced Anatomy Part 1,Paper 1 - Written,Winter,1,2012,2013,https://www.mis.nuigalway.ie/papers_public/2012_2013/AN/2012_2013_AN318_1_1_5.PDF
AN318-1,Advanced Anatomy Part 1,Paper 1 - Written,Winter,1,2007,2008,https://www.mis.nuigalway.ie/papers_public/2007_2008/AN/2007_2008_AN318_1_1_5.PDF
